,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
37356,97,42.725303648281525,1.0,0.5928859308289387,249.2311966144948,1.0,0.5308253480182472,288.6437519300857,10.0,0.0984681977398805,111.0501160030514,1.5,0.5087791400654564,338.8534169217821,10.0,0.0643971074874745,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37356,2118022404.722061,0,0.0,0.0,3.397163241424841,0.0
37365,104,265.6833342678027,1.5,0.6724891763831701,301.23146774888335,10.0,0.8036076820522585,151.44663685939054,1.0,0.0316669749587436,160.95310239563742,1.5,0.0334683512662691,277.30911036169783,1.5,0.2981231082492673,3.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37365,1484107683.6324928,0,0.0,0.0,3.383392715477638,0.0
37367,17,138.34777928764026,10.0,0.9433455749690758,248.07550228500187,10.0,0.4579321076394572,301.087302258706,10.0,0.0299911433140832,249.9261987760205,1.5,0.3882750941925629,90.81119828062675,1.0,0.54743448004473,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37367,2134723165.209223,0,0.0,0.0,3.311821509723624,0.0
37373,75,229.7425256987124,10.0,0.8054786207447034,306.6192486437378,1.0,0.4387316058746859,236.6493334373353,10.0,0.1222533269515385,35.60591151706252,10.0,0.5965230373687985,126.24076433375006,1.0,0.0908283401806012,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37373,2256558361.371378,0,0.0,0.0,3.2706822909178017,0.0
37381,91,330.68730457296977,1.0,0.4367513945625622,117.23776509603228,10.0,0.2254257199050978,88.8097733320935,10.0,0.1704613835412907,86.41326628007236,1.5,0.9359387195484624,285.8466441639704,1.0,0.3259871824213229,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37381,2838686809.3598137,0,0.0,0.0,3.901629753632669,0.0
37382,36,244.85266147450145,1.0,0.8363125183441182,204.6690732646204,1.0,0.5436331894886948,343.77220465989416,10.0,0.0190453279388097,150.1252513707212,1.0,0.5398950022552955,254.9588725410251,10.0,0.8621519836066495,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37382,1751021216.351697,0,0.0,0.0,3.247280862359104,0.0
37386,35,308.73802667815164,1.5,0.960431145564524,53.41414815511735,1.5,0.2604546661068516,155.06185022516524,1.5,0.0511908120101627,73.71467746255772,1.0,0.2860435381384079,242.3499826919359,1.5,0.9842293074811946,3.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37386,2113796748.1655085,0,0.0,0.0,3.4992033354994803,0.0
37388,101,269.68044386134875,10.0,0.5570696719897449,74.22970321278923,1.0,0.5869844244433942,328.9588670203416,10.0,0.1408949378183998,259.19836057068375,1.5,0.8252523952335757,117.51796019407018,10.0,0.7574097870778869,3.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37388,2251205070.784615,0,0.0,0.0,3.397085000413916,0.0
37390,86,62.46463325600026,1.5,0.6884770394662784,144.69851283264512,1.5,0.1890515542673385,316.93372762290176,10.0,0.0427102319632418,69.78781011805985,10.0,0.5329276126684354,190.79346163961364,10.0,0.0166624409027032,4.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37390,1822716005.4346151,0,0.0,0.0,3.5726412051533263,0.0
37392,38,112.0790670808708,10.0,0.1073480268388268,272.11022818131465,1.5,0.3784974095538112,87.59645026322153,1.5,0.1804202641235715,194.5810756828933,1.5,0.5288710021327989,233.03553667995328,1.0,0.2830553490671545,3.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37392,3158697291.6178985,0,0.0,0.0,2.571690386946569,0.0
